ID,LastName,FirstName,Birthday,HourlyRate
10001,Magahis,Juan,01/01/1990,535.00
10002,Santos,Maria,05/12/1992,375.25
10003,Reyes,Kevin,11/20/1988,450.00
10004,Garcia,Elena,03/15/1995,285.50
10005,Tan,Ricardo,07/22/1991,610.00
10006,Cruz,Angelica,09/30/1993,320.75
10007,Bautista,Paulo,12/05/1987,480.00
10008,Aquino,Liza,02/14/1996,250.00
10009,Lim,Jonathan,06/18/1990,550.00
10010,Villanueva,Rico,08/25/1994,310.00
10011,Dela Cruz,Simon,10/12/1989,425.50
10012,Mercado,Brenda,04/05/1992,390.00
10013,Gonzales,Marco,11/11/1991,440.00
10014,Pascual,Cynthia,01/20/1997,225.00
10015,Ramos,Dexter,05/30/1986,750.00
10016,Castillo,Sarah,07/07/1993,335.50
10017,Flores,Antonio,09/14/1988,515.00
10018,Torres,Michelle,02/28/1995,295.00
10019,Salvador,Gabriel,03/19/1990,465.00
10020,Mendoza,Janine,08/08/1992,380.25
10021,Castro,Oliver,12/25/1987,590.00
10022,Guzman,Sofia,04/15/1996,260.00
10023,Valdez,Renato,06/30/1991,430.75
10024,Buan,Katrina,10/01/1994,315.00
10025,Lopez,Federico,11/05/1989,495.00
